OK;OK
YES;SIM
NO;NÃO
CANCEL;CANCELAR
SAVE;SALVAR
IMAGES;Imagens
LANGUAGE;Linguagem:
ADD_IMAGES;Adicionar imagens
ADD_IMAGES_TITLE;Adicionar imagens
ADD_FOLDER;Adicionar pasta
ADD_FOLDER_TITLE;Adicionar pasta
ADD_ZIP;Adicionar ZIP
ADD_ZIP_TITLE;Adicionar imagens zipadas
IMAGE_DROP_HELP;o clique e arraste imagens aqui
CLEAR;Limpart
CLEAR_TITLE;Limpar todas as imagens
DELETE;Deletar
DELETE_TITLE;Deletar imagens selecionadas
REPLACE_FILES_PROMPT;Substituir arquivos existentes?
DISPLAY_OUTLINES;Contorno:
SCALE;Escala:
SHOW_SPRITES;Animações
SPRITE_NAME;Nome do sprite:
ANIMATION_SPEED;Velocidade da animação:
TEXTURE_NAME;Nome da textura:
TEXTURE_NAME_TITLE;Nome da textura para exportação
TEXTURE_FORMAT;Formato da textura:
TEXTURE_FORMAT_TITLE;Formato da textura para exportação
REMOVE_FILE_EXT;Remover extensão:
REMOVE_FILE_EXT_TITLE;Remover extensão do nome do sprite
PREPEND_FOLDER;Anexar nome da pasta:
PREPEND_FOLDER_TITLE;Anexe o nome da pasta ao nome do arquivo
BASE64_EXPORT_TITLE;Export para o formato base64 (se possível)
BASE64_EXPORT;Exportar para base64
TINIFY_TITLE;Tinify usando https://tinypng.com
TINIFY;Tinify
TINIFY_KEY_TITLE;Chave do TinyPNG https://tinypng.com/developers
TINIFY_KEY;Chave do TinyPNG
DISABLE_SMOOTHING;Desabilitar suavização
DISABLE_SMOOTHING_TITLE;Desabilitar suavização
SCALE;Escala:
SCALE_TITLE;Escala base da textura
FILTER;Filtros:
FILTER_TITLE;Aplicar filtros no resultado
FORMAT;Formato:
FORMAT_TITLE;Formato de exportação
FILE_NAME;Nome do arquivo:
FILE_NAME_TITLE;Nome do arquivo do resultado
SAVE_PATH;Caminho dos saves
SAVE_PATH_TITLE;Caminho pra salvar o spritesheet
WIDTH;Altura:
WIDTH_TITLE;Altura máxima
HEIGHT;Largura:
HEIGHT_TITLE;Largura máxima
FIXED_SIZE;Tamanho fixo:
POWER_OF_TWO;Potência de dois:
POWER_OF_TWO_TITLE;Potência de dois tamanhos de textura
FIXED_SIZE_TITLE;Tamanho dos sprites fixo
PADDING;Distãncia dos sprites:
PADDING_TITLE;Distãncia dos sprites
EXTRUDE;Extrusão:
EXTRUDE_TITLE;Tamanho da extrusão de pixels da borda dos sprites
ALLOW_ROTATION;Permitir rotação:
ALLOW_ROTATION_TITLE;Permitir rotação de sprites
ALLOW_TRIM;Permitir recorte:
ALLOW_TRIM_TITLE;Permitir recorte de sprites
ALPHA_THRESHOLD;Alpha threshold:
ALPHA_THRESHOLD_TITLE;Valor do Alpha threshold
TRIM_MODE;Modo de recorte:
